classificacao|comentario
negativo|Tava aqui matutando Segundo pesquisa primeira morte por corona aqui foi em janeiro e não em março Será que eu já peguei corona no carnaval e nem percebi?
negativo|Xarope Caseiro - PODEROSO Para Acabar Com a Tosse SECA Em Segundos- Remé... https://youtu.be/SjDIol-p71E via @YouTube Xarope Caseiro - PODEROSO Para Acabar Com a Tosse SECA Em Segundos-... Xarope Caseiro - PODEROSO Para Acabar Com a Tosse SECA Em Segundos- Remédio caseiro para tosse seca! 4 remédios caseiros comprovados para a tosse Um ótimo re... youtube.com
negativo|Gente que pulmão bom hein Me deu falta de ar só de assistir Mas tá de parabéns, arrasou
negativo|Em resposta a @fagnerlferreira @kennerterra e @Pr_AlexandreGon Pois é, e virá com soluções a calamidades. Imagina alguém chegasse hoje com a cura da covid? Seria uma maravilha, Mas com umas implicações minimas ocultas. * Com isso nao estou indo contra vacinas e nem teorias conspiracionistas. Mas é o modo de operar.
negativo|@SOGIL_Oficial peguei um direto no centro.Lotaramo onibus porque? Estão falindo???? E ainda veio por cachoeirinha São a favor da covid 19????
negativo|... de tosse em comparação com Lop / R com antibióticos ou com tratamento conservador. O efeito de Lop / R com antibióticos não foi superior ao tratamento conservador.
negativo|Em resposta a @Marisol_PB_TB N existe medicação pra esse virus a ñ ser analgésico pra dor anti termico febre ,nosso organismo que se defenda, muita dor,horrivel.
negativo|Roupas geladas na hora de se vestir, não posso tomar aquela coca trincando de gelada nem sorvetinho pois dá dor de garganta dps, tem que secar o cabelo pra não pegar gripe (super chato), lavar louça, lavar as mãos, a água chega a doer de tão fria e o VASO SANITÁRIO, TUDO GELADO
negativo|então eu tenho ctz que peguei corona no carnaval, pq o tanto que eu fiquei ruim de gripe dps.... nu Citar Tweet Tabata Viapiana @tah_viapiana · 11 de mai Fiocruz diz que coronavírus chegou ao Brasil em janeiro, antes do que se sabia. Em 26 de fevereiro, quando foi anunciado oficialmente o primeiro caso, o vírus já circulava pelo país fazia um mês, destaca pesquisa. https://oglobo.globo.com/sociedade/coronavirus/coronavirus-chegou-ao-brasil-antes-do-que-se-sabia-em-janeiro-diz-fiocruz-1-24421276?utm_source=Twitter&utm_medium=Social&utm_campaign=compartilhar…
negativo|Em resposta a @cinefilo_K e @Hendrix_Careta Usa banho de Babosa e deita em folha bananeira pra aliviar as febres.. TOMA SUCO DE Melancia com semente pra limpar , desintoxicar e abaixar pressão Em jejum..Funcionou comigo quando tive dengue..Nunca mais peguei nda..Nem Gripezinha. Ou #Covid_19 #FicaEmCasa
negativo|Prendendo tosse alérgica pro meu pai não querer me enfiar antigripal
negativo|senhor to com falta de ar de novo asma pq fazes isto comigo?
negativo|Eu queria tanto não ter ansiedade, por uma coisa pequena eu já sinto meu coração apertar e não consigo respirar direito me falta o ar...... isso é horrível! Queria muito não ter chegado ao ponto de ter desenvolvido isso na minha vida, eu não desejo pra ninguém!
negativo|Primeiro que antes de chegar no topo dessa montanha eu já teria morrido de falta de ar Citar Tweet pessoas escapando da morte @escapoudamorte · 15 de mai Eai tem coragem? Mostrar esta sequência 0:15 123,3 mil visualizações
negativo|Tenho uma leve impressão de que peguei covid e me curei.
negativo|Vou lavar o banheiro, nem que depois eu morra de falta de ar #Foco
negativo|SIM, eu acredito muito no sobrenatural e ja to começande a ter falta de ar por causa dessx bonece. eu nao aguento mais ver elx na tml e pedir desculpas, nao apenas isso, nao aguento mais ficar caçando o post sobre e a tml atualiza e p desespero aumenta..
negativo|Em resposta a @samyrajansen Quase crtz q isso deve ser por causa de sono e alimentação. Muitas vezes a gente sabe q ta com uma rotina muito boa e bota na cabeça q vai adoecer. Eu tava assim tb, achava qqr coisinha eu tava com febre
negativo|No caso de sentir sintomas como tosse, febre, cefaleias, dores no corpo, dispneia, fraqueza generalizada, perda do olfato ou paladar e sintomas gastrointestinais, ou se residir com pessoas com esses sintomas, o atleta deve comunicar imediatamente o responsável médico do clube.
negativo|Em resposta a @vitr__ Eu sinto falta de ar em momentos de desespero, ia ser horrível não conseguir se mexer e ainda não tá respirando direito
negativo|Eu fui pro show de michele melo que estava tendo lá na rua da moeda, foi um pouco flopado pois tinha pouquissimas pessoas (por causa do corona) beijei duas pessoas. Peguei um uber, fui pro conchitas ver umas amigas do grupo e dps fui pro bar do ceu e beijei uma pessoa. fim Citar Tweet Lare @laressa · 20 h Como foi o último dia legal de vocês antes da quarentena? Mostrar esta sequência
negativo|ontem eu estava com uma alergia que estava com uma coriza e uma dor de garganta
negativo|Toce****** era toce desculpa o erro nate *tosse* Citar Tweet 𝐄𝐑𝐘𝐗 off respondo quando eu morrer @ERYX_251 · 15 min Cadê o *espirra* para botar ordem em você credo tenha respeitoh twitter.com/arctticlown/st…
negativo|Em resposta a @cagaiola Eu sofro muito amiga, a cada vez que lavo o cabelo é uma dor de garganta pra conta
negativo|Quando alguém tosse do meu lado ... Bomboclaat @Bomboclaato · 3 de mar Bomboclaat 0:04 2,4 mi visualizações
negativo|Você não sabe o que é ter essa péssima sensação de falta de ar e ter que ir pro respirador para ter uma respiração de volta Bolsonaro. A vida de todos os pacientes que foram diagnosticado e o que vieram a óbito por covid19 importa. #JanelaspelaDemocracia
negativo|Qualquer tosse , dor de cabeca : A EU : corona é voce ???
negativo|Em resposta a @thaisaromanini e @VigilatoGustavo Não vem me dar febre 8:50 da manhã não, vai...
negativo|Em resposta a @Jujuca1987 Nossa, é bem assim mesmo. Uma semana dessas estive com falta de ar (sedentarismo+crise de rinite) e comecei a me perguntar quem iria cuidar do meu cachorro caso eu fosse internada.
negativo|mais uma madrugada de maite com febre
negativo|noss máscara dá uma falta de ar viu Citar Tweet xet do xvideos @xetdoxv · 37 min isso te sufoca / mas isso não né
negativo|Em resposta a @MInfraestrutura e @aviacaodobrasil Estou otimista com este novo desafio, e tudo se caminhará bem, depois desta tempestade do Covid 19 e os oportunistas que tentaram de tudo, destruir o que foi feito de crescimento para o nosso País. Esta tempestade vai passar e a bonança no nosso País voltará a reinar. Eu creio!
negativo|Ansiedade é foda , do nada da falta de ar
negativo|mais uma crise que quase me mata de falta de ar, sabadou
negativo|é que vc me causa febre
negativo|estou me sentindo assim pq dormi muito mal ou pq peguei corona?
negativo|Recebi agora ligação no fixo de call-center em nome do @minsaude . 1Pergunta direta: Vc tem sintoma de febre tosse dor de garganta (entre outros)? NÃO. A 'robô' parabeniza pela ausência de sintomas COVID-19 e presta info úteis de prevenção. CURIOSO: Mantenha-se em casa! Uê?!?!
negativo|boa noite pra quem tá queimando de febre, e só queria falar com ela, pra se livrar da angústia
negativo|não aguento nem andar de máscara sem ter falta de ar, imagina correr
negativo|Qlqr coriza eu já vejo se to com febre kkkkkkk Citar Tweet . @Marcosmor3ira · 10 h Qualquer espirro eu já pesquiso qual é os sintomas do corona
negativo|Sintomas como falta de ar, tremedeira, fraqueza... não era covid, era #Outlander mesmo... Citar Tweet bianca @emilydschnel · 10 de mai eu e a @RitaGabriela na videochamada berrando e chorando já no início a gente não tinha dado play e já estávamos chorando #outlander Mostrar esta sequência
negativo|Dor de cabeça: A Eu: Corona Vírus
negativo|Em resposta a @TeichNelson Ministro gostaria de saber porque os médico não usa o remédio prednisona que é um santo remédio para falta de ar e muitos outros problema é e barato tomei uma vez por dia 10miligrama e fiquei bom
negativo|sdds sair com roupa curta pra role e ouvir minha mãe falando “vai, sai pelada” depois de qualquer tosse
negativo|ACHO QUE TÔ COM FEBRE A MEU DEUS DO CÉU
negativo|eu odeio usar máscara, falta de ar do caramba
negativo|Odeio essas crises de ansiedade to cansada de n ter controle da situação, odeio sentir esse turbilhão de sentimentos, da falta de ar, do choro descontrolado, de todo meu corpo tremer
negativo|Alçado pelo pai a ‘pegador’, filho 04 minimiza Covid: ‘Peguei, passou’ https://goiania80anos.wordpress.com/2020/05/01/alcado-pelo-pai-a-pegador-filho-04-minimiza-covid-peguei-passou/…
negativo|Hoje eu senti a pior dor da minha vida. A angústia subiu, a garganta arranhou, as lágrimas caíram e o coração disparou. Cuidem da família de vocês porque nunca saberemos quando será nosso último momento. Hoje eu perdi meu irmão e a dor é insuportável. descansa em paz Artur
negativo|provavelmente ninguém se importa, mas eu to no hospital, não sei se é sério mas eu tava sentindo falta de ar e muita dor no peito os médicos disseram que podia ser meu coração por conta do tamanho do meu amor pelo peter gadiot
negativo|Em resposta a @m4rih_ Eu n to com medo do corona Eu já peguei coisa pior
negativo|eu amo calor, mas ter que ficar de máscara me da falta de ar
negativo|provavelmente ninguém se importa mas eu tô no hospital não sei se é sério mas eu tava sentindo falta de ar e estou com muita dor no peito os médicos disseram que podia ser meu coração por conta do tamanho do meu amor pelo he xuan
negativo|Em resposta a @lalisaproof tenho bronquite problema no coração renite alergia de picadas falta de ar
negativo|não dá p brincar c o apolo não, fico até com falta de ar
negativo|É isso então amigos eu peguei corona é já sarei putz nem fez cosquinha kkk Citar Tweet Sérgio Utsch @utsch · 6 h Britânicos incluem perda de olfato e paladar na lista oficial de sintomas que devem levar ao isolamento de pessoas com suspeita da Covid-19. Reino Unido (38 mil testes por milhão de habitantes) tem 243 mil casos e deve ser ultrapassado hj pelo Brasil (3,4 mil testes por milhão). twitter.com/DHSCgovuk/stat…
negativo|Cara na cara,pele na pele ,suor pingando, o corpo em febre Você em transe, sussurrando, segurando a voz...
negativo|okay, aceitei q definitivamente n estou com covid-19 de acordo com os fatos (apesar de q posso estar tbm n sei) a todo momento me direcionei aos banheiros para lavar as mãos e em todo bump de alcool em gel eu parava para desinfetar as mãos
negativo|não to mais nos casos monitorados pq n tenho mais febre aparentemente livre de covid amigues
negativo|Eai galera estou doente mas nao e doente com febre, é doente doente mesmo
negativo|odeio sentir falta de ar, parece que tô morrendo
negativo|Em resposta a @avidanafruteira eu para não fazer o teste do bip tive o dia todo a convencer-me de que estava com febre. à hora da aula tinha 37.8 que era o mínimo que precisava para não fazer a aula. mind over body, mor.
negativo|Meu sonho era descobrir q peguei corona assintomática e colar em todas essas manifestações pró bolsonaro
negativo|Craque revela franquia de super heróis e vira febre no Japão.
negativo|VOLTEI AGORA DA RUA VOMITANDO, COM DOR DE CABEÇA E DIARRÉIA... CORONA? NÃO, KAISER.
negativo|Quando ataca uma falta de ar bate o medo aí a falta de ar parece que multiplica
negativo|Esse frio me pegou. É resfriado Febre Neurose de ser Covid Eh tudo e mais um pouco
negativo|Em resposta a @ysolovjimin Sim, eu também estou mal com isso tudo, espero que ele esteja bem e que não de tanta importância para oque os hater estão dizendo Até porque ele saiu uma semana antes do mundo praticamente parar por causa desse corona então é completamente injusto ele ser atacado.
negativo|Em resposta a @alexndrecesar Eu tô virada na febre do tifo
negativo|Nunca teve ninguém pra passar a mão na minha cabeça, e tapa nas costas nunca resolveu minha tosse.
negativo|Em resposta a @Eric_Flausino Osmar Terra Plana é uma metralhadora de espalhar Fake News sobre a COVID19. Todo mundo tenso com essa merda, ele vai lá e mente. Além disso, só passa vergonha nas entrevistas
negativo|"Estou chocada! Onde é que vamos parar, meu Deus. O pior é perceber que NINGUÉM tentou impedir tamanha agressão. A sociedade está doente e não tem nada a ver com o Corona. Estarrecedor! Citar Tweet Arthur Weintraub @ArthurWeint · 6 de mai Tudo o que a esquerda falava antes, direito ao trabalho, proteção da mulher, direitos humanos, foi jogado no lixo pelo discurso do ""use máscara e fique em casa"". A lavagem cerebral faz as pessoas odiarem quem não segue a cartilha. Mulher é expulsa de ônibus por não usar máscara. Mostrar esta sequência 1:21 234,4 mil visualizações"
negativo|Só de eu ver o JN me dar falta de ar
negativo|Não consigo respirar com máscara da até falta de ar
negativo|fui ver uma reportagem sobre a pneumonia silenciosa causada pelo coronavírus e fiquei com falta de ar então não tenho pneumonia silenciosa
negativo|Estou doente. Mas fiquem tranquilos n é corona. É só um cancerzinho de leve.
negativo|Incrédulo a respeito da doença, o professor só procurou o hospital quando os sintomas se agravaram, já com um quadro que apresentava falta de ar e febre alta. Semanas antes, ele participou sem máscara de ato que pedia o retorno do AI-5: Professor que esteve sem máscara em ato pró-Bolsonaro morre de Covid-19 Incrédulo a respeito da doença, o professor só procurou o hospital quando os sintomas se agravaram, já com um quadro que apresentava pragmatismopolitico.com.br
negativo|rinite: a eu: sera q estou com corona
negativo|Em resposta a @luucasneves__ Sei que não é o seu caso mas muita gente minimiza o toc como se fosse apenas um hábito kkkkk o toc é um transtorno de ansiedade obsessivo seguido de compulsões, causado por medo e pânico irracionais de coisas superficiais, que podem gerar falta de ar e queda de pressão.
negativo|Em resposta a @maisa MAISA MEU AMOR PASSA ENDEREÇO DA SUA CASA PQ ESTOU PREPARANDO PRESENTE DE ANIVER PRA VC MINHA VIDA SE EU MANDA PRA SUA CAIXA POSTAL CHEGA NA SUA CASA OU NO CORREIOS ? PQ ACHO DIFICIL VC IR BUSCAR NO CORREIO COM ESTE NEGOCIO DO COVID ?
negativo|Em resposta a @_estarmorta_ Os avcs tão relacionados a coagulos/trombos então pode causar outras coisas, estão estudando se a falta de ar tem a ver com esses trombos, ah e tem também hipóxia silêncio que é falta de ar quase assintomática
negativo|acordei espirrando mas calma que não estou com corona De Indie é uma espécie
negativo|Em resposta a @JENOSH19 to com medo de dar uma parada cardíaca algo assim sla falta de ar,acho que não vou aguentar assistir algumas partes
negativo|http://febremania.com.br Grupo de rap de Cubatão, formado por crianças, lança novo videoclipe http://dlvr.it/RWcGZ4 Febre Mania - A Rádio mais quente da Web! A Rádio mais quente da Web! febremania.com.br
negativo|dps que eu fiquei com a aliança presa no meu dedo de vez em qnd eu tiro ela e fico umas horinhas sem ela só de pensar nela presa me falta o ar
negativo|Nunca fica pior com você.Sempre temos que pensar no melhor. Eu estou com covid 19. Então pra mim. Quero que todos fique salvos desse covid 19 .você tém meu coração sempre amo -te Citar Tweet James Blunt @JamesBlunt · 13 h Just when you thought 2020 couldn’t get any worse.
negativo|#bdsp estou reamente preocupado com as restrições colocada pelo prefeito de São Paulo . Pois tirando os veiculos das ruas ele so vai almentar o numero de pessoas em coletivos isso não aumentaria o risco de contaminação do covid em são Paulo? Moro na vila brasilandia sou grafic
negativo|Em resposta a @wellramon sim amor por mais que seja chatissimo mas o código da febre eh tudo!!!
negativo|olha a glr do mutirão do Covid aí , to com falta de ar só de pensar em usar isso kkkk Citar Tweet Bruno Brow @bruno_brow · 6 h E eu que fui no supermercado e tinha um cara com uma máscara tipo essas de gás tóxicos, kkkkkkkkk
negativo|Em resposta a @camila_knowss Em febre constante e o dom da cura nem mais um instante sem o som e a fúria
negativo|Em resposta a @felipeneto To surtando pq meu auxilio n ta sendo liberado SENDO Q EU ESTOU DESEMPREGADA POR CONTA DO CORONA E MORANDO COM PESSOAS Q TAO DESEMPREGADAS PELO MSM MOTIVO
negativo|Porém ficar internado com falta de ar toda hora deve ser pior Citar Tweet 𝔅𝔢𝔞𝔱𝔯𝔦𝔷 @beaxsll · 11 de mai Andar com máscara é horrível
negativo|mds nao aguento ficar nem 2min c essa mascara na cara, q falta de ar jesus
negativo|falta de ar é a pior coisa do mundo
negativo|o Corona vírus nunca me assustou, eu já peguei coisa pior é ainda chamei de amor...
negativo|Em resposta a @ZeniteDiarys esse cura dor de garganta
negativo|Em resposta a @inatavaress eu e a falta de ar todo dia
negativo|Eu estou indo trabalhar com 7 mil pessoas. Quem mandar eu fazer isolamento social eu mando meus boletos ou mando tomar no cu... #coronavirus #COVID19 #LockdownSP
negativo|eu tentando segurar a tosse na fila da lotérica
negativo|"""Nossa peguei Covid, mas como se eu uso máscara"" Tbm o animal usa máscara no olho, no queixo, na testa mas não da maneira q é pra usar aí ferra tbm"
negativo|Em resposta a @doublleli tosse aqui n sai corona
negativo|Em resposta a @brunoalmida e @LwithP comassim vc tosse na cara dos seus pais????????
negativo|Em resposta a @hyuugalet Amiga eu tenho um lema pessoal que é NAO SOU OBRIGADA A SER FEIA NA INTERNET que lógico que não se aplica a vc pq né caralho, olha essa perfeição Mas essa foto ta me fazendo achar que estou com o corona pq estou sem ar <
negativo|"Em resposta a @folha @Folha_english e @Folha_espanol Ex Ministro da Saúde (22 Meses no cargo) Roberto Barros, diz: ""Eu peguei a Covid, tomei a Cloroquina"" ""Não vejo porque não tomar a Cloroquina"" ""Isso é uma discussão inútil, Cloroquina é tomada por milhares de brasileiros (por longo tempo) que tem Malária"" 2:15 799 visualizações De HCQ + AZ + ZINC (NÃO SE AUTOMEDIQUE)"
negativo|Em resposta a @vitinhobizinho e vamos de falta de ar
negativo|Eu espirrando quando acordo, e minha mãe vendo se eu tô com febre ou fazendo trilhões de pergunta se estou com algum sintoma do corona Citar Tweet Bichinhos fofinhos pra quem ta cansado de política · 21 h Rinite é foda
negativo|Eu a noite tendo falta de ar por conta da crise de ansiedade e eu achando que é por causa do corona
negativo|Acho que to com febre, pq ta um calor desgraçado e eu to morrendo de frio
negativo|como eu n fiquei com falta de ar e desisti como eu faço hoje? A mídia a seguir inclui conteúdo possivelmente sensível. Alterar configurações Ver
negativo|eba a falta de ar veio
negativo|Estou muito feliz sim, só não estou surtando de felicidade, pq meu avô entrou ontem para estatística de mortos por corona vírus. Então é um alívio, misturado com muita tristeza. Citar Tweet Felipe Neto @felipeneto · 10 h Se você não está surtando pelo menos um pouco nesse momento, ou você precisa começar a se informar, ou eu questiono seriamente seu caráter.
negativo|Avanço: Hospital no Piauí cura pessoas da covid-19 e esvazia UTIs com uso de cloroquina Avanço: Hospital no Piauí cura pessoas da covid-19 e esvazia UTIs com uso de cloroquina Os avanços no enfrentamento à doença começam a ser preparados por centenas de médicos para aplicação no Brasil inteiro. cartapiaui.com.br
negativo|Eu tô muito cansada, to me matando com esses estudos dirigidos, quase não tô dormindo, Guilherme com esse dente não dá una trégua, não tô comendo direito, tomo banho correndo, e quase não durmo... Nem peguei covid-19 e já to querendo morrer vsf
negativo|Se eu deita de lado é certo me da falta de ar . Acho q é por Causa do peito grande sei lá
negativo|Saiu o resultado do meu teste p covid Nem assintomática eu sou, eu nem peguei...............
negativo|Esse bgl de corona t abalando meu psicológico, estou com um medo do crl de pegar essa porra
negativo|eu tive falta de ar assistindo isso! que desespero!!!!! Citar Tweet @eu.a_igreja @eua_igreja · 7 h Me sinto aflita ao ver esse vídeo #denuncie Mostrar esta sequência
negativo|Em resposta a @cassoli_carol Já peguei, não
negativo|quero ficar com febre não
negativo|desgraça de aglomeração em supermercado se eu peguei covid foi hoje
negativo|Eu não estava tão com medo assim do corona, agora estou extremamente morrendo de medo sério
negativo|acordei com falta de ar, coração acelerado, tremendo de tão horrível que foi o sonho
negativo|Em resposta a @Felipe60399379 Nem vai sair kkkkk e a dor de garganta ??
negativo|Em resposta a @OtoniDepFederal em pensar que se essa política de começar o tratamento somente quando a pessoa tiver falta de ar, fosse diferente começar o tratamento logo nos primeiros sintomas não iria precisar de tantos hospitais, as pessoas fariam o tratamento em casa mesmo, não sei porque não fazem isso.
negativo|"Tô só o Seu Jorge hoje depois da Tess me assustar acordando com dor nas pernas dizendo q tava com febre e dor em tudo ""Não tenho a menor condição"" Citar Tweet @marcellykyaranx · 15 h . Mostrar esta sequência 1:17 551,3 mil visualizações"
negativo|Entendam uma coisa: eu tenho muita falta de ar. O tempo todo. Gorda, mais magra, doente, saudável, no frio, no calor, sempre. Por isso o corona me assusta tanto, pq o sintoma mais importante, é o que eu sinto o tempo todo
negativo|Em resposta a @adestranbelhada Enjôo pq tô largando o cigarro Até agr estou com irritabilidade nível hard Leve tontura e dor de cabeça Muito enjôo Tosse chata Retenção de líquido E MTA vontade de fumar Tá difícil miga
negativo|... Muita gente tosse pelo pior e não pela verdade! Pobres militares!!! #JairCadaVezMaisForte Citar Tweet Carmelo Neto @carmelonetobr · 14 h Bolsonaro liberou a divulgação do trecho da reunião ministerial que envolve Moro. Mas o ex-ministro insiste em expor o vídeo todo, mesmo sabendo dos assuntos sigilosos. Conclusão: Moro quer uma narrativa, e não a verdade. Está mais preocupado em criar crise por causa de palavrão.
negativo|Alenia melhorou dms minha asma desde que comecei a usar não tive uma falta de ar
negativo|Eu estou com dor no coração por ver tantos morrerem sem Jesus por isso desejo que todos oremos pela Vida e que DEUS cure os doentes do covid19 em nosso país, pois jesus disse, tudo o que pedirdes na oração, crendo, recebereis @madeleinelacsko eu creio nisso
negativo|Estou pirando , entro no face corona , tt corona , tv corona , isso deixa a gente louca , sem contar que não posso acordar com uma dor de cabeça que começa a paranóia , aí Deus cura essa terra ...
negativo|tradução: ramen bate diferente quando você tem dor de garganta ... não corona * Citar Tweet Mads Lewis @mads_lewis · 8 h ramen hits different when you have a sore throat … not corona*
negativo|O amor sempre protege, sempre confia, sempre tem esperança, sempre preserva. I Coríntios 13:4 #souGurgel e estou com você na luta contra o coronavírus. #covid19 #coronavirus #petropolisrj #soupetropolis… https://instagram.com/p/CAFmLprHwpx/?igshid=d14x2my4p6gy…
negativo|não consigo andar de máscara dar mt falta de ar
negativo|Cadê os fãs do @LiamPayne e do @Alesso que estão doidos para ver uma certa entrevista?
negativo|Esse feature maravilhoso que a pandemia me deu: qualquer pensamento de estresse me dá leve falta de ar.
negativo|"Qto mais o tempo passa, mais sintomas da Covid-19 se somam às queixas mais comuns: falta de ar e fadiga. Some-se aí: diarreia, ""dedos de Covid"", trombose, anosmia, diarreia, entre outros. O @FinancialTimes listou alguns ""mistérios"" do novo coronavírus: From blood clots to ‘Covid toe’: the medical mysteries of coronavirus  Free to read The wide variety of Covid-19 symptoms seen by doctors is confounding the scientific community ft.com"
negativo|Em resposta a @BellMello02 Vem estou aqui quero aquela macumba
negativo|Em resposta a @aff_uo ressaca, dor de cabeça e coriza.
negativo|o harry ter lançado clipe foi a melhor coisa que me aconteceu: eu acordei com a pele boa, com a garganta melhor e sem febre
negativo|"Tá certo PR @jairbolsonaro . Estou trabalhando desde sempre e nem por isso morri ou sei se fiquei contaminado com essa porra de COVID. Citar Tweet Correio Braziliense @correio · 2 h Bolsonaro: ""Quem não quiser trabalhar, que fique em casa, porra"" https://bit.ly/2X6OZkf"
negativo|tem depressão? sorria! tá com falta de ar? respire! tem ansiedade? acalme! é selenator? vira gente!
negativo|Em resposta a @PauloMoraes85 Só falta acabar as inúmeras reformas... Ar condicionado, piso da pista principal...etc... Mas vai melhorar...ainda mais nessa época de quarentena, eles devem estar metendo mão.
negativo|Não peguei corona mas a ansiedade e a cefaleia de tensão tão a mil nessa quarentena
negativo|nisso eu olhei pra baixo pra voltar pras receitas e devolver pra ela o que eu não precisava e tinha um receituário médico mas não era uma prescrição, peguei pra ler pra ver se eu precisava e tava lá “SOLICITO SOROLOGIA PARA COVID 19” +
negativo|Eu sempre amei assistir o dftv e tava com saudade então hoje contra o meu plano de não ver mais jornal eu assisti 2 minutos. 3 pessoas, PESSOAS, com amigos, família e etc..mais novas que a minha mãe morreram hoje de corona. Agora estou aqui deitada em posição fetal. Triste!
negativo|e hj eu fui na rua e descolori o cabelo da minha amg e agr eu to morrendo de espirrar e n sei se é pq eu peguei corona ou pelo pó do descolorante
negativo|Ficar com falta de ar por causa da máscara é melhor q ficar com falta de ar por causa do COVID, reflita
negativo|Em resposta a @brunolunardi84 @YulikoCristina e 4 outros Como falei antes peguei covid tomei o medicamento e com 5 dias estava bom e pra quem passei o que tomei e foi receitado também conseguiu se curar. Fiz a minha parte como sempre salvando vidas essa e minha profissão resgatar vidas.
negativo|Percebi que se eu ficar um tempo (1 semana) sem beber, e depois beber, eu tenho umas crises de falta de ar... então o jeito é beber todos os dias msm
negativo|Pior q eu acredito q deu negativo,não é possivel q um velho como ele tenha pego e nao tenha precisado ficar pelo menos alguns dias internado com falta de ar Citar Tweet Rádio BandNews FM @radiobandnewsfm · 1 h Os exames feitos pelo presidente Jair Bolsonaro apontam que ele não foi contaminado pelo coronvírus. Há pouco, o Palácio do Planalto divulgou os resultados após decisão do ministro Ricardo Lewandowski, do Supremo Tribunal Federal. Mostrar esta sequência
negativo|acordei no susto e com falta de ar, pqp
negativo|Tá frio ou estou com febre? Questães da madrugada
negativo|Tava eu andando pela casa e mamãe diz a seguinte frase: “você está emagrecendo e perdendo bunda”, foi um péssimo comentário matinal
negativo|"N acredito q Simone e Simaria cantaram na live ""Corona virus nunca me assustou, eu ja peguei coisa pior e ainda chamei de amor"". Kkkk mds o brasileiro..."
negativo|Estou com tanta amostra grátis de whey, vitamina D, glutamina, ômega.. Se saia corona pra eu entregar isso aos pacientes
negativo|"é nessa ignorância das pessoas de ""Ah, pega nada, só vou sair do carro pra entrar na casa da pessoa mesmo, nem vou parar em nenhum outro lugar...'', que fode tudo. E aí depois pega a covid e fica ''Não tenho idéia de onde peguei''"
negativo|gabriel na live falando que ficou internado e chegou uma menina com falta de ar e ele ficou com o coração apertado pq não tinha como fazer nada, e falando sobre frio e moradores de rua, esse menino tem um coração tão puro, merece tudo de bom nesse mundo
negativo|Em resposta a @GFiuza_Oficial Estou inconformada de saber que várias mortes no Estado de SP com médicos que são obrigados a colocar nas mortes Covid-19 para aumentar a qtdade do Corona pra assustar ou matar as pessoas de medo. DÓRIA vc é um doente necessita urgente de um PSIQUIATRA.
negativo|Em resposta a @urgayokay Eu lembro-me de uma vez ter mandado um video para o grupo em que ela disse que a dor de garganta curou-se porque she S******* ***
negativo|Merda, tenho que tomar banho e dormir. Aurora passou o dia com febre por conta da reação da vacina. Mas fora isso ela tá bem. Só fica enjoadinha quando tá sono mas isso é normal de todo bebê. GIF
negativo|Só de ver a foto já fico com falta de ar Citar Tweet 𝕷𝖆𝖚𝖗𝖆 @sleazythoughts · 13 de mai old que a única amarração que presta é essa aqui Mostrar esta sequência
negativo|Minha ansiedade 'tá atacando de novo e eu não sei mais o que fazer para esse aperto no peito e falta de ar passarem. Só sinto vontade de chorar e chorar, desaparecer e chorar mais um pouco.
negativo|Se essa moda pega a gente ta mto ferrado... zica, dengue, febre amarela e etc... BBC News Mundo @bbcmundo · 6 h Se empiezan a oír voces que piden responsabilidades a China por la pandemia. https://bbc.in/3fzqQLp
negativo|Em resposta a @Cristhian_smll e @arthurmoledoval Não sei ,será que estou com covid?
negativo|Tive minha irmã gêmeas comigo que veio a falecer essa madrugada . 51 anos e acometida desde Janeiro com Câncer e que não suportou o tratamento de rádio terapia. Estou aguardando o atestado de óbito, se vir por Covid-19, vou pedir ajuda dos amigos aqui para denunciar urgente..
negativo|Entrada dum prédio comercial aqui em Guangzhou com câmera térmica pra detectar febre #COVID19 0:07 70 visualizações
negativo|Em resposta a @adeledkns eu super recomendo extensão pra todo mundo, meu tcc foi todo em cima da minha extensão menina então né, tá tenso ter q ir pro hospital, já achei q peguei covid umas 3 vezes kkkkk mas não temos outra escolha né, temos q ajudar pra esse país não colapsar de vez
negativo|#NowPlaying Bebi Minha Bicicleta - Ze Neto e Cristiano Febre Mania - A Rádio mais quente da Web! A Rádio mais quente da Web! febremania.com.br
negativo|Entrada dum prédio comercial aqui em Guangzhou com câmera térmica pra detectar febre #COVID19 0:08 70 visualizações
negativo|será q ta frio mesmo ou eu to com febre??? será que a falta de ar é ansiedade ou corona???
negativo|provavelmente ninguém se importa mas eu tô no hospital não sei se é sério mas eu tava sentindo falta de ar e estou com muita dor no peito os médicos disseram que podia ser meu coração por conta do tamanho do meu amor pelo taehyung
negativo|só quero incenso mano o meu de lotus ja acabou e o de maçã verde e melancia me deixa com dor de garganta
negativo|fazia tempos que eu não tomava banho gelado bora acordar com dor de garganta amanhã
negativo|Chega nela e fala eu acho que estou com covid Pois você foi COVIDada a entrar no meu coração
negativo|Eu não aguento mais usar essa bosta de máscara, puta falta de ar
negativo|"Olhando aqui a programação da @ESPNBrasil , vi que vão passar o filme ""Fever Pitch"" (Amor em Jogo), de 2005, às 15h00, no canal ESPN. Deveriam passar a versão original, inglesa, ""Fever Pitch"" (Febre de Bola), de 1997, que é muito melhor, baseado no livro de Nick Hornby"
